rps,cores,total requests,total responses,time,average one request time,max one request time,number of disconnects,response problems
30,1,1800,1800,61.75,2.61,3.94,0,0
30,2,1800,1800,60.12,0.64,2.5,0,0
30,3,1800,1800,60.15,0.58,1.09,0,0
30,4,1800,1800,60.15,0.59,1.64,0,0
50,1,3000,821,58.48,11.33,19.19,1,0
50,2,3000,3000,62.2,1.58,5.24,0,0
50,3,3000,3000,60.59,0.66,1.88,0,0
50,4,3000,3000,60.12,0.63,2.09,0,0
70,1,4200,507,53.48,10.88,19.39,1,0
70,2,4200,2149,67.57,6.41,12.17,1,0
70,3,4200,4200,60.88,1.55,2.75,0,0
70,4,4200,4200,60.63,1.54,3.33,0,0
90,1,5400,415,46.83,9.53,13.77,1,0
90,2,5400,1419,54.62,8.16,14.36,1,0
90,3,5400,3660,82.11,10.07,19.74,1,0
90,4,5400,3460,82.55,8.72,16.86,1,0
