rps,cores,total requests,total responses,time,average one request time,max one request time,number of disconnects,response problems
15,1,900,900,68.2,8.39,11.18,0,0
15,2,900,900,64.93,5.55,7,0,0
15,3,900,900,64.92,5.41,6.03,0,0
15,4,900,900,64.93,5.4,5.98,0,0
20,1,1200,563,78.54,14.35,20.15,1,0
20,2,1200,1200,65.07,5.68,6.4,0,0
20,3,1200,1200,65.02,6.81,25.19,0,0
20,4,1200,1200,65.17,5.62,6.87,0,0
25,1,1500,395,61.97,15.12,21.08,1,0
25,2,1500,1071,98.92,12.47,33.71,1,0
25,3,1500,1500,65.2,5.88,6.72,0,0
25,4,1500,1500,65.19,5.84,6.92,0,0
30,1,1800,428,68.88,18.77,27.78,1,0
30,2,1800,1556,104.59,19.23,33.37,1,0
30,3,1800,1800,71.37,11.57,16.7,0,0
30,4,1800,1800,70.14,9.47,13.78,0,0
