rps,cores,total requests,total responses,time,average one request time,max one request time,number of disconnects,response problems
30,1,1800,1800,79.02,15.53,23.97,0,0
30,2,1800,1800,75.12,12.21,16.62,0,0
30,3,1800,1800,75.01,11.9,16.13,0,0
30,4,1800,1800,73.73,11.84,16.07,0,0
40,1,2400,1625,93.89,17.26,26.25,1,0
40,2,2400,2400,74.43,13.56,17.64,0,0
40,3,2400,2400,75.18,13.42,16.73,0,0
40,4,2400,2400,75.28,13.34,17.12,0,0
50,1,3000,1350,83.26,21.04,30.11,1,0
50,2,3000,2461,100.29,17.2,25.45,1,0
50,3,3000,3000,79.84,17.5,25.2,0,0
50,4,3000,3000,81.38,18.76,28.78,0,0
60,1,3600,520,64.24,22.36,30.99,1,0
60,2,3600,1704,82.53,19.48,25.65,1,0
60,3,3600,2815,105.36,26.33,42.95,1,0
60,4,3600,3159,117.87,25.57,41.46,1,0
