rps,cores,total requests,total responses,time,average one request time,max one request time,number of disconnects,response problems
40,1,2400,1060,70.62,10.14,18.71,1,0
40,2,2400,2400,64.07,4.57,14.54,0,0
40,3,2400,2400,70.97,4.59,14.9,0,0
40,4,2400,2400,64.12,4.73,14.78,0,0
50,1,3000,873,65.01,10.97,18.21,1,0
50,2,3000,3000,64.11,1.79,5.11,0,0
50,3,3000,3000,64.17,4.57,5.29,0,0
50,4,3000,3000,64.19,4.79,9.99,0,0
60,1,3600,958,60.3,13.49,19.35,1,0
60,2,3600,1187,58.73,8.78,12.75,1,0
60,3,3600,3600,68.77,7.32,13.59,0,0
60,4,3600,3600,69.64,8.28,14.87,0,0
70,1,4200,754,77.04,18.79,27.82,1,0
70,2,4200,1956,75.17,12.38,18.78,1,0
70,3,4200,2200,70.47,9.58,15.11,1,0
70,4,4200,2102,72.21,12.62,19.3,1,0
